Symbol,Name,ISIN,exchange
ABB,ABB India Ltd,INE117A01022,BSE
AEGISLOG,Aegis Logistics Ltd,INE208C01025,BSE
TPAEC,Torrent Power AEC Ltd,INE424A01014,BSE
AKARLAMIN,Akar Laminators Ltd,INE984C01013,BSE
ALPHADR,Alpha Drug India Ltd,INE256B01026,BSE
ARE&M,Amara Raja Energy & Mobility Ltd,INE885A01032,BSE
AMBALALSA,Ambalal Sarabhai Enterprises Ltd,INE432A01017,BSE
HDFC,Housing Development Finance Corporation Ltd,INE001A01036,BSE
AMRTMIL-BDM,Amrut Industries Ltd,NA          ,BSE
ANDHRAPET,Andhra Petrochemicals Ltd,INE714B01016,BSE
ANSALAPI,Ansal Properties & Infrastructure Ltd,INE436A01026,BSE
UTIQUE,Utique Enterprises Ltd,INE096A01010,BSE
ICICIDM,ICICI Ltd,INE005A01011,BSE
ARUNAHTEL,Aruna Hotels Ltd,INE957C01019,BSE
ARPOLDM,ARPOLDM,INE035A01018,BSE
BOR,Bank of Rajasthan Ltd,INE320A01014,BSE
BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,INE032A01023,BSE
ASINCOF,ASINCOF,NA          ,BSE
ASIANHOTNR,Asian Hotels (North) Ltd,INE363A01022,BSE
ASSAMCO,Assam Company India Ltd,INE442A01024,BSE
ASSAMBR,Assambrook Ltd-$,INE353C01011,BSE
ATSHIND,Atash Industries Ltd,NA          ,BSE
ATUL,Atul Ltd,INE100A01010,BSE
ATVPR,ATV Projects India Ltd,INE447A01015,BSE
AUTOLITIND,Autolite (India) Ltd,INE448A01013,BSE
AUTORIDFIN,Autoriders Finance Ltd,INE450A01019,BSE
BAJAJELEC,Bajaj Electricals Ltd-$,INE193E01025,BSE
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,INE306A01021,BSE
FORCEMOT,Force Motors Ltd-$,INE451A01017,BSE
BAJFINANCE,Bajaj Finance Ltd,INE296A01032,BSE
BALAJIDI,Balaji Distilleries Ltd,INE453A01013,BSE
BALAJIIND,Balaji Industrial Corporation Ltd,INE455A01018,BSE
BALMERL-B,Balmer Lawrie Freight Containers Ltd,-,BSE
BALRAMCHIN,Balrampur Chini Mills Ltd,INE119A01028,BSE
BANCOINDIA,Banco Products (India) Ltd-$,INE213C01025,BSE
ABREL,Aditya Birla Real Estate Ltd,INE055A01016,BSE
BANARISUG,Bannari Amman Sugars Ltd,INE459A01010,BSE
BASF,BASF India Ltd,INE373A01013,BSE
BATAINDIA,Bata India Ltd,INE176A01028,BSE
RAYBAN,Rayban Sun Optics India Ltd,INE854A01012,BSE
BELLARYS,Bellary Steels & Alloys Ltd,INE166C01025,BSE
BECREL,Best & Crompton Engineering Ltd,INE287A01015,BSE
BETANAP,Beta Napthol Ltd,NA          ,BSE
BEML,BEML Ltd,INE258A01016,BSE
BEL,Bharat Electronics Ltd,INE263A01024,BSE
BHARATRA,Bharat Rasayan Ltd,INE838B01013,BSE
BHAGGAS,Bhagawati Gas Ltd,INE099C01010,BSE
BEPL,Bhansali Engineering Polymers Ltd-$,INE922A01025,BSE
BHAZINC,Bharat Zinc Ltd,NA          ,BSE
BHRTITE-B,BHRTITE-B,NA          ,BSE
TATASTLBSL,Tata Steel Bsl Ltd,INE824B01021,BSE
UTIMRDM,UTI Master Growth 93,INF189A01046,BSE
ABCIL,Aditya Birla Chemicals (India) Ltd,INE605B01016,BSE
BIHSPONG,Bihar Sponge Iron Ltd,INE819C01011,BSE
BILVYAPAR,Bil Vyapar Ltd,INE071A01013,BSE
BIRLACABLE,Birla Cable Ltd,INE800A01015,BSE
ANVALDM,Andhra Valley Power Supply Co Ltd,INE247A01019,BSE
ASHOKLEYFIN,Ashok Leyland Finance Ltd,INE251A01011,BSE
OSWALCHEM,Oswal Chemicals & Fertilizers Ltd,INE143A01010,BSE
BGFL,Birla Global Finance Ltd,INE097A01018,BSE
BLUESTARCO,Blue Star Ltd,INE472A01039,BSE
DISAQ,Disa India Ltd,INE131C01011,BSE
QUESTCAP,Quest Capital Markets Ltd,INE418C01012,BSE
BOP,Bank of Punjab Ltd,INE458A01012,BSE
BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd,INE241A01012,BSE
BPLENG,BPL Engineering Ltd,INE108A01013,BSE
BPL,BPL Ltd,INE110A01019,BSE
NAGARFER,Nagarjuna Fertilizers and Chemicals Ltd,INE580A01013,BSE
BURROWEL,Burroughs Wellcome (India) Ltd,INE157A01010,BSE
CCI,Cable Corporation of India Ltd,INE475A01016,BSE
OAL,Oriental Aromatics Ltd-$,INE959C01023,BSE
CARIR,Carrier Aircon Ltd,INE480A01016,BSE
CAUVERSOFT,Cauvery Software Engineering Systems Ltd,INE466B01013,BSE
CELEINT,Celeste International Ltd,NA          ,BSE
CENCHDM,Centak Chemicals Ltd,INE942A01015,BSE
CENTEXT,Century Extrusions Ltd,INE281A01026,BSE
CESC,CESC Ltd,INE486A01021,BSE
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,INE085A01013,BSE
EXIDEIND,Exide Industries Ltd,INE302A01020,BSE
CIPLA,Cipla Ltd,INE059A01026,BSE
DICIND,DIC India Ltd,INE303A01010,BSE
MADUCOA,Madura Coats Ltd,INE122A01014,BSE
COREPARENT,Core Healthcare Ltd,INE494A01017,BSE
CRISIL,CRISIL Ltd,INE007A01025,BSE
CGPOWER,CG Power and Industrial Solutions Ltd,INE067A01029,BSE
CTCOTTON,CT Cotton Yarn Ltd,INE107D01019,BSE
WYETH,Wyeth Ltd,INE378A01012,BSE
DABUR,Dabur India Ltd,INE016A01026,BSE
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,INE495A01022,BSE
SKYLNEPC,Skyline NEPC Ltd,INE575B01011,BSE
CENTINPO,Central India Polyesters Ltd,INE496A01020,BSE
DAEWOO,Daewoo Motors India Ltd,INE497A01010,BSE
ARVIND,Arvind Ltd,INE034A01011,BSE
BALLARPUR,Ballarpur Industries Ltd,INE294A01037,BSE
